10:41:50.182 [main] INFO  c.p.T.TimeSlotManagerApplication - Starting TimeSlotManagerApplication using Java 17.0.9 with PID 3727 (/Users/mac/EntJavaRepos/TimeSlotManager/target/classes started by mac in /Users/mac/EntJavaRepos/TimeSlotManager)
10:41:50.187 [main] INFO  c.p.T.TimeSlotManagerApplication - No active profile set, falling back to 1 default profile: "default"
10:41:50.768 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:41:50.817 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43 ms. Found 2 JPA repository interfaces.
10:41:51.241 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
10:41:51.247 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
10:41:51.248 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:41:51.248 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
10:41:51.294 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:41:51.294 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1061 ms
10:41:51.465 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:41:51.512 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
10:41:51.540 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
10:41:51.752 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
10:41:51.774 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:41:52.013 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@604f376a
10:41:52.015 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:41:52.779 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
10:41:52.830 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:41:53.157 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:41:53.173 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
10:41:53.453 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
10:41:53.468 [main] INFO  c.p.TimeSlotManager.controller.LogIn - method init() is working
10:41:53.469 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
10:41:53.478 [main] INFO  c.p.T.TimeSlotManagerApplication - Started TimeSlotManagerApplication in 3.668 seconds (process running for 4.67)
10:42:07.252 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:42:07.254 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:42:07.259 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
10:42:09.881 [main] INFO  c.p.T.TimeSlotManagerApplication - Starting TimeSlotManagerApplication using Java 17.0.9 with PID 3738 (/Users/mac/EntJavaRepos/TimeSlotManager/target/classes started by mac in /Users/mac/EntJavaRepos/TimeSlotManager)
10:42:09.889 [main] INFO  c.p.T.TimeSlotManagerApplication - No active profile set, falling back to 1 default profile: "default"
10:42:10.430 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
